1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],8. Apparent diameter [km],11. Floor diameter [km],14. Apparent depth [km],16. Interior volume [km^3],20. Height of central peak [km],51. Age
Ross,24.49,11.67,21.74,21.06,10.16,1.889,384.72,0.33,
Ross B,5.62,11.38,20.17,4.66,0.65,0.958,7.1,0,
Ross C,4.75,11.62,18.93,3.94,0.48,0.818,4.29,0,
Ross D,8.41,12.57,23.32,6.98,1.33,1.4,23.79,0,
Ross E,4.2,11.04,23.41,3.49,0.39,0.729,2.96,0,
Ross F,4.56,10.91,24.23,3.78,0.45,0.787,3.79,0,
Ross G,4.55,10.68,24.86,3.78,0.45,0.786,3.77,0,
Ross H,4.17,10.24,21.81,3.46,0.39,0.724,2.9,0,
Rosse,11.43,-17.95,34.98,9.49,2.28,1.869,59.73,0,Eratosthenian
Rosse C,3.92,-18.55,34.43,3.25,0.35,0.683,2.41,0,Eratosthenian
Rosseland,67.66,-40.82,130.68,58.19,36.13,2.747,4023.87,0,Nectarian
Rost,46.85,-56.42,-33.84,40.29,22.83,2.301,1721.54,1.17,Nectarian
Rost A,44.65,-56.62,-36.84,38.4,21.5,2.267,1540.51,1.07,Nectarian
Rost B,20.25,-54.68,-36.3,17.42,8.01,1.783,247.98,0.22,
Rost D,30.55,-56.63,-31,26.27,13.39,2.02,641.14,0.51,
Rost M,26.77,-55.5,-31.52,23.02,11.35,1.941,472.55,0.39,
Rost N,5.98,-57.29,-33.22,4.96,0.73,1.016,8.55,0,
Rothmann,41.67,-30.81,27.7,35.84,19.72,2.22,1313.32,0.93,Eratosthenian
Rothmann A,7.35,-29.46,27.59,6.1,1.05,1.234,15.88,0,
Rothmann B,21.28,-31.82,28.42,18.3,8.52,1.81,278.09,0.25,
Rothmann C,17.87,-28.64,25.01,14.83,5.03,2.846,0,0.18,
Rothmann D,12.87,-28.97,22.78,10.68,2.82,2.09,85.27,0,
Rothmann E,9.64,-32.94,29.19,8,1.69,1.592,35.83,0,
Rothmann F,6.47,-29.19,28.01,5.37,0.84,1.094,10.83,0,
Rothmann G,92.01,-28.39,24.39,79.13,53.05,2.833,8185.32,0,pre-Nectarian
Rothmann H,11.15,-29.16,25.4,9.25,2.19,1.826,55.45,0,
Rothmann J,6.85,-29.39,25.73,5.69,0.93,1.155,12.86,0,
Rothmann K,5.2,-28.86,24.36,4.32,0.57,0.891,5.62,0,
Rothmann L,13.19,-29.22,28.67,10.95,2.94,2.139,0,0,
Rothmann M,16.42,-31.24,29.84,13.63,4.33,2.628,0,0,
Rothmann W,10.36,-30.87,26.57,8.6,1.92,1.704,44.48,0,
Rowland,166.12,56.98,-162.48,142.86,0,3.006,0,0,Nectarian
Rowland G,17.77,56.59,-160.07,14.75,4.98,2.831,0,0.17,
Rowland J,49.85,52.72,-155.84,42.87,24.67,2.345,1986.93,1.33,Eratosthenian
Rowland K,25.3,51.02,-157.23,21.76,10.58,1.908,414.75,0.35,
Rowland M,57.97,51.48,-162.7,49.85,29.79,2.455,2815.64,0,Nectarian
Rowland N,31.58,55.04,-164.12,27.16,13.95,2.041,692.18,0.54,
Rowland R,22.76,53.48,-169.45,19.57,9.27,1.847,324.82,0.28,
Rowland Y,54.93,58.64,-163.21,47.24,27.85,2.415,2486.21,0,Nectarian
Rozhdestvenskiy,181.15,84.99,-157.89,155.79,0,3.032,0,0,pre-Nectarian
Rozhdestvenskiy H,20.78,83.28,-133.1,17.87,8.27,1.797,263.23,0.24,
Rozhdestvenskiy K,42.87,82.19,-147.01,36.87,20.44,2.24,1402.33,0.99,Eratosthenian
Rozhdestvenskiy U,44.11,84.89,152.05,37.93,21.18,2.259,1497.81,1.04,
Rozhdestvenskiy W,74.96,85.89,114.64,64.47,41.07,2.776,5098.39,0,pre-Nectarian
Rumford,60.83,-28.81,-169.8,52.31,31.64,2.718,3146.94,0,Lower Imbrian
Rumford A,30.15,-25.16,-169.09,25.93,13.17,2.012,621.91,0.49,
Rumford B,22.07,-25.11,-167.86,18.98,8.92,1.83,302.52,0.27,
Rumford C,26.09,-27.47,-167.92,22.44,10.99,1.926,445.28,0.37,
Rumford F,14.47,-28.75,-165.03,12.01,3.46,2.334,0,0,
Rumford Q,29.06,-30.86,-171.76,24.99,12.57,1.99,571.2,0.46,
Rumford T,111.67,-28.54,-172.15,96.04,67.56,2.889,12802.96,0,pre-Nectarian
Rumker C,4.29,41.58,-58.09,3.56,0.41,0.743,3.16,0,
Rumker E,6.79,38.64,-57.14,5.64,0.91,1.145,12.52,0,
Rumker F,5.05,37.26,-57.28,4.19,0.54,0.867,5.15,0,
Rumker H,4,40.33,-52.76,3.32,0.36,0.696,2.56,0,
Rumker K,3.01,42.25,-56.04,2.5,0.22,0.533,1.09,0,
Rumker L,3.37,43.57,-57.33,2.8,0.26,0.592,1.53,0,
Rumker S,3.02,42.58,-63.08,2.51,0.22,0.534,1.1,0,
Rumker T,3.23,42.51,-64.75,2.68,0.25,0.569,1.35,0,
Runge,38.98,-2.43,86.81,33.52,18.15,2.176,1125.7,0.82,
Russell,103.37,26.51,-75.55,88.9,61.35,2.866,10710.96,0,
Russell B,20.49,26.39,-78.3,17.62,8.13,1.789,254.82,0.23,
Russell E,10.03,28.6,-74.58,8.32,1.81,1.653,40.36,0,
Russell F,9.4,28.09,-76.57,7.8,1.62,1.555,33.22,0,
Russell R,40.38,28.92,-75.43,34.73,18.96,2.199,1221.3,0.88,
Russell S,24.76,29.34,-77.1,21.29,10.3,1.895,394.59,0.33,
Ruth,3.08,28.71,-45.06,2.56,0.23,0.544,1.17,0,
Rutherford,15.98,10.56,137.09,13.26,4.13,2.562,0,0,Copernican
Rutherfurd,49.98,-61.15,-12.25,42.98,24.75,2.347,1998.92,1.33,Copernican
Rutherfurd A,10.45,-62.31,-11.99,8.67,1.95,1.718,45.65,0,
Rutherfurd B,6.27,-62.57,-11.58,5.2,0.79,1.062,9.86,0,
Rutherfurd C,13.34,-62.54,-10.9,11.07,3,2.162,0,0,
Rutherfurd D,9.02,-63.32,-8.96,7.49,1.5,1.496,29.35,0,
Rutherfurd E,8.78,-62.83,-8.38,7.29,1.43,1.458,27.07,0,
Rydberg,48.03,-46.43,-96.43,41.31,23.55,2.318,1823.35,1.23,Eratosthenian
Ryder,15.55,-43.87,143.3,12.91,3.93,2.497,0,0,
Rynin,77.88,46.78,-103.73,66.98,43.08,2.786,5568.92,0,pre-Nectarian
Sabatier,9.6,13.19,79.01,7.97,1.68,1.586,35.39,0,
Sabine,29.75,1.38,20.07,25.59,12.95,2.004,603.02,0.48,Lower Imbrian
Sabine A,3.65,1.24,19.46,3.03,0.3,0.638,1.95,0,
Sabine C,2.84,1.02,22.92,2.36,0.2,0.504,0.92,0,
Sacrobosco,97.67,-23.75,16.64,84,57.15,2.85,9395.62,0,pre-Nectarian
Sacrobosco A,16.49,-24.1,16.12,13.69,4.36,2.639,0,0,
Sacrobosco B,13.22,-24.04,16.89,10.97,2.95,2.143,0,0,
Sacrobosco C,12.55,-23,15.82,10.42,2.69,2.041,79.07,0,
Sacrobosco D,26.52,-21.67,17.8,22.81,11.22,1.935,462.41,0.38,
Sacrobosco E,12.18,-26.11,17.69,10.11,2.56,1.984,72.28,0,
Sacrobosco F,17.56,-21.16,16.73,14.57,4.87,2.8,0,0.17,
Sacrobosco G,18.11,-20.7,16.15,15.57,5.15,1.723,0,0.18,
Sacrobosco H,12.08,-23.72,18.68,10.03,2.52,1.969,70.51,0,
Sacrobosco J,4.8,-23.61,14.53,3.98,0.49,0.826,4.42,0,
Sacrobosco K,5.54,-22.9,14.69,4.6,0.64,0.946,6.8,0,
Sacrobosco L,8.42,-25.61,15.12,6.99,1.33,1.402,23.88,0,
Sacrobosco M,6.93,-25.3,16.27,5.75,0.94,1.167,13.31,0,
Sacrobosco N,5.73,-27.09,16.56,4.76,0.68,0.976,7.53,0,
Sacrobosco O,4.84,-21.19,16.05,4.02,0.5,0.833,4.54,0,
Sacrobosco P,4.57,-20.7,17.32,3.79,0.45,0.789,3.82,0,
Sacrobosco Q,36.37,-21.66,17.39,31.28,16.64,2.13,959.17,0.71,
Sacrobosco R,20.55,-22.32,15.78,17.67,8.16,1.791,256.55,0.23,
Sacrobosco S,19.6,-26.6,17.98,16.86,5.92,1.765,229.98,0.21,
Sacrobosco T,11.54,-24.94,16.83,9.58,2.32,1.886,61.47,0,
Sacrobosco U,3.69,-23.99,14.3,3.06,0.31,0.645,2.01,0,
Sacrobosco V,3.61,-24.56,16.13,3,0.3,0.632,1.88,0,
Sacrobosco W,2.27,-24.38,17.28,1.88,0.13,0.408,0.47,0,
Sacrobosco X,23.27,-26.63,16.27,20.01,9.53,1.86,341.88,0.3,
Saenger,74.57,4.49,102.8,64.13,40.8,2.774,5037.33,0,Nectarian
Saenger B,62.42,5.64,103.32,53.68,32.67,2.725,3340.22,0,pre-Nectarian
Saenger C,17.85,6.25,104.36,14.82,5.02,2.843,0,0.18,
Saenger D,23.68,5.02,103.43,20.36,9.74,1.87,355.96,0.31,
Saenger P,42.79,2.75,102.09,36.8,20.39,2.238,1396.3,0.98,Upper Imbrian
Saenger Q,14.68,3.43,101.97,12.18,3.55,2.366,0,0,
Saenger R,11.04,3.4,100.64,9.16,2.15,1.809,53.82,0,
Saenger V,20.47,5.25,101.92,17.6,8.12,1.789,254.25,0.23,
Saenger X,19.66,6.39,102.18,16.91,5.95,1.767,231.61,0.21,
Safarik,31.42,10.44,176.7,27.02,13.86,2.038,684.11,0.53,
Safarik A,21.24,12.5,176.98,18.27,8.5,1.809,276.89,0.25,
Safarik H,15.8,9.53,178.55,13.11,4.05,2.535,0,0,
Safarik S,13.27,9.89,174.23,11.01,2.97,2.151,0,0,
Saha,103.34,-1.69,103.04,88.87,61.33,2.866,10703.78,0,Nectarian
Saha B,32.5,1.47,104.89,27.95,14.46,2.059,739.65,0.57,
Saha C,59.9,1.45,108.22,51.51,31.03,2.714,3036.92,0,pre-Nectarian
Saha D,38.24,0.19,107.94,32.89,17.72,2.163,1076.94,0.79,Nectarian
Saha E,28.76,-0.29,108.04,24.73,12.41,1.984,557.67,0.45,
Saha J,49.93,-4.02,105.62,42.94,24.72,2.346,1994.31,1.33,Lower Imbrian
Saha M,15.52,-2.2,102.92,12.88,3.92,2.493,0,0,
Saha N,50.65,-4.23,101.89,43.56,25.17,2.356,2061.37,1.37,Nectarian
Saha W,34.47,-0.61,101.71,29.64,15.56,2.096,847.36,0.64,Nectarian
Samir,1.86,28.5,-34.29,1.54,0.09,0.339,0.26,0,
Sampson,1.83,29.58,-16.53,1.52,0.09,0.333,0.25,0,
Sanford,55.09,32.38,-139.21,47.38,27.95,2.417,2502.97,0,Nectarian
Sanford C,18.46,33.87,-137.38,15.88,5.32,1.733,0,0.19,
Sanford T,42.52,32.43,-143.7,36.57,20.23,2.234,1376.03,0.97,
Sanford W,38.21,33.43,-140.6,32.86,17.7,2.163,1074.99,0.79,
Sanford Y,21.21,33.52,-139.64,18.24,8.49,1.808,275.99,0.25,
Santbech,62.24,-20.99,44.06,53.53,32.56,2.725,3318.01,0,Nectarian
Santbech A,24.69,-24.27,42.29,21.23,10.26,1.894,392.01,0.33,
Santbech B,14.89,-24.74,41.57,12.36,3.64,2.397,0,0,
Santbech C,17.34,-22.29,39.51,14.39,4.77,2.767,0,0.17,
Santbech D,7.44,-21.14,45.14,6.18,1.07,1.248,16.47,0,
Santbech E,12.94,-22.42,44.84,10.74,2.84,2.101,86.67,0,
Santbech F,12.56,-25.61,41.94,10.42,2.7,2.043,79.26,0,
Santbech G,4.72,-22.96,44.39,3.92,0.48,0.813,4.21,0,
Santbech H,8.96,-20.47,42.88,7.44,1.49,1.486,28.77,0,
Santbech J,14.06,-19.74,43.39,11.67,3.29,2.271,0,0,
Santbech K,9.29,-19.23,43.12,7.71,1.58,1.538,32.07,0,
Santbech L,7.16,-21.37,39.46,5.94,1,1.204,14.68,0,
Santbech M,13.06,-20.47,39.36,10.84,2.89,2.119,0,0,
Santbech N,10.72,-20.83,39.66,8.9,2.04,1.76,49.28,0,
Santbech P,9.24,-21.42,40,7.67,1.57,1.53,31.56,0,
Santbech Q,12.71,-23.22,38.96,10.55,2.76,2.066,82.13,0,
Santbech R,5.5,-23.41,38.75,4.57,0.63,0.939,6.66,0,
Santbech S,10.02,-23.53,39.08,8.32,1.81,1.651,40.24,0,
Santbech T,4.68,-24.13,38.04,3.88,0.47,0.807,4.1,0,
Santbech U,8.79,-24.03,38.83,7.3,1.44,1.46,27.17,0,
Santbech V,6.81,-24.68,39.33,5.65,0.92,1.148,12.63,0,
Santbech W,14.28,-24.38,40.69,11.85,3.38,2.305,0,0,
Santbech X,7.77,-25.18,42.46,6.45,1.16,1.3,18.76,0,
Santbech Y,7.8,-25.32,42.94,6.47,1.16,1.305,18.98,0,
Santbech Z,5.37,-25.88,42.98,4.46,0.6,0.918,6.19,0,
Santos-Dumont,8.8,27.79,4.75,7.3,1.44,1.461,27.26,0,
Sarabhai,7.38,24.75,21,6.13,1.06,1.238,16.08,0,
Sarton,71.33,49.12,-121.14,61.34,38.6,2.762,4546.07,0,Nectarian
Sarton L,43.68,46.83,-120.34,37.56,20.92,2.252,1464.3,1.02,Nectarian
Sarton Y,25.34,51.26,-121.75,21.79,10.6,1.909,416.27,0.35,
Sarton Z,28.16,51.35,-121.02,24.22,12.09,1.971,531.16,0.43,
Sasserides,81.74,-39.28,-9.44,70.3,45.76,2.8,6227.32,0,pre-Nectarian
Sasserides A,45.48,-39.98,-7.11,39.11,22,2.28,1607.47,1.11,
Sasserides B,8.17,-39.52,-11.23,6.78,1.26,1.363,21.81,0,
Sasserides D,10.28,-36.78,-6.46,8.53,1.89,1.692,43.45,0,
Sasserides E,8.14,-38.96,-7.72,6.76,1.25,1.358,21.57,0,
Sasserides F,15.07,-40.52,-9.96,12.51,3.72,2.425,0,0,
Sasserides H,10.92,-39.27,-10.94,9.06,2.11,1.791,52.09,0,
Sasserides K,7.99,-38.97,-7.39,6.63,1.21,1.335,20.4,0,
Sasserides L,4.97,-40.09,-6.63,4.13,0.53,0.854,4.91,0,
Sasserides M,11.34,-37.98,-7.06,9.41,2.25,1.855,58.33,0,
Sasserides N,6.03,-38.72,-7.06,5,0.74,1.024,8.77,0,
Sasserides P,21.57,-38.04,-10.81,18.55,8.67,1.818,286.93,0.25,
Sasserides S,14.14,-38.75,-8.08,11.74,3.33,2.284,0,0,
Saunder,44.38,-4.26,8.72,38.17,21.34,2.263,1519.08,1.05,
Saunder A,7.42,-4.01,12.26,6.16,1.07,1.245,16.34,0,
Saunder B,5.55,-3.93,9.81,4.61,0.64,0.947,6.84,0,
Saunder C,3.3,-2.77,10.52,2.74,0.25,0.581,1.44,0,
Saunder S,3.17,-2.38,9.74,2.63,0.24,0.559,1.27,0,
Saunder T,4.91,-4.07,10.39,4.08,0.51,0.844,4.73,0,
Saussure,54.56,-43.38,-3.88,46.92,27.62,2.41,2447.69,0,
Saussure A,18.4,-43.82,-0.54,15.82,5.29,1.732,0,0.19,
Saussure B,3.95,-42.27,-4.02,3.28,0.35,0.688,2.47,0,
Saussure C,15.6,-44.86,-0.68,12.95,3.96,2.505,0,0,
Saussure CA,18.59,-45.3,-0.59,15.99,5.39,1.737,0,0.19,
Saussure D,18.18,-47.01,0.15,15.63,5.18,1.725,0,0.18,
Saussure E,10.72,-44.67,-2.16,8.9,2.04,1.76,49.28,0,
Saussure F,4.37,-44.34,-4.64,3.63,0.42,0.756,3.34,0,
Scaliger,86.4,-27.26,109.14,74.3,49.04,2.815,7078.21,0,Upper Imbrian
Scaliger U,10.47,-26.76,106.7,8.69,1.96,1.721,45.91,0,
Schaeberle,56.74,-26.33,117.71,48.8,29,2.439,2679.55,0,Nectarian
Schaeberle S,12.98,-26.59,114.75,10.77,2.86,2.107,87.48,0,
Schaeberle U,24.21,-25.86,114.11,20.82,10.01,1.882,374.63,0.32,
Scheele,4.69,-9.45,-37.85,3.89,0.47,0.808,4.13,0,
Scheiner,110.07,-60.35,-27.81,94.66,66.36,2.884,12383.18,0,pre-Nectarian
Scheiner A,12.05,-60.49,-28.28,10,2.51,1.964,69.99,0,
Scheiner B,29.1,-59.7,-33.57,25.03,12.6,1.991,573.02,0.46,Lower Imbrian
Scheiner C,12.14,-60.13,-30.93,10.08,2.54,1.978,71.57,0,
Scheiner D,16.73,-60.72,-32.3,13.89,4.48,2.675,0,0,
Scheiner E,24.4,-63.22,-29.33,20.98,10.11,1.887,381.46,0.32,
Scheiner F,6.11,-56.89,-25.26,5.07,0.76,1.037,9.12,0,
Scheiner G,13.47,-62.59,-28.39,11.18,3.05,2.182,0,0,
Scheiner H,8.16,-56.35,-27.46,6.77,1.26,1.361,21.73,0,
Scheiner J,11.39,-59.76,-28.83,9.45,2.27,1.863,59.11,0,
Scheiner K,7.36,-58.05,-26.08,6.11,1.05,1.235,15.95,0,
Scheiner L,9.09,-65.87,-35.22,7.54,1.52,1.507,30.04,0,
Scheiner M,10.39,-65.77,-33.45,8.62,1.93,1.709,44.86,0,
Scheiner P,12.37,-62.56,-31.16,10.27,2.63,2.014,75.71,0,
Scheiner Q,8.14,-58.79,-28.9,6.76,1.25,1.358,21.57,0,
Scheiner R,7.88,-57.99,-24.27,6.54,1.19,1.317,19.57,0,
Scheiner S,6.77,-58.39,-25.33,5.62,0.91,1.142,12.41,0,
Scheiner T,12.19,-60.96,-34.95,10.12,2.56,1.986,72.46,0,
Scheiner U,6.68,-60.96,-36.31,5.54,0.89,1.128,11.92,0,
Scheiner V,6.68,-60.61,-37.02,5.54,0.89,1.128,11.92,0,
Scheiner W,6.82,-60.37,-37.66,5.66,0.92,1.15,12.69,0,
Scheiner X,7.35,-59.58,-24.86,6.1,1.05,1.234,15.88,0,
Scheiner Y,8.19,-59.13,-25.39,6.8,1.27,1.366,21.97,0,
Schiaparelli,24.2,23.38,-58.82,20.81,10.01,1.882,374.27,0.32,
Schiaparelli A,7.58,22.97,-62.1,6.29,1.11,1.27,17.42,0,
Schiaparelli C,5.66,25.83,-62.22,4.7,0.66,0.965,7.25,0,
Schiaparelli E,4.88,27.12,-62.07,4.05,0.51,0.839,4.65,0,
Schickard,212.18,-44.38,-55.11,182.47,0,3.08,0,0,pre-Nectarian
Schickard A,14.45,-46.87,-53.71,11.99,3.46,2.331,0,0,
Schickard B,13.89,-43.74,-52.25,11.53,3.22,2.246,0,0,
Schickard C,13.34,-45.86,-56,11.07,3,2.162,0,0,
Schickard D,9.33,-45.77,-57.72,7.74,1.6,1.544,32.49,0,
Schickard E,32.95,-47.28,-51.67,28.34,14.71,2.067,763.52,0.59,Nectarian
Schickard F,14.32,-48,-53.86,11.89,3.4,2.311,0,0,
Schickard G,12.19,-43.04,-58.98,10.12,2.56,1.986,72.46,0,
Schickard H,16.1,-43.52,-62.34,13.36,4.18,2.58,0,0,
Schickard J,12.54,-45.01,-62.44,10.41,2.69,2.04,78.88,0,
Schickard K,13.67,-43.86,-63.9,11.35,3.13,2.212,0,0,
Schickard L,8.59,-44.12,-59.8,7.13,1.38,1.429,25.35,0,
Schickard M,8.74,-44.19,-58.98,7.25,1.42,1.452,26.71,0,
Schickard N,6.51,-41.3,-54.69,5.4,0.85,1.101,11.04,0,
Schickard P,94.39,-42.91,-48.5,81.18,54.77,2.84,8682.72,0,
Schickard Q,5.53,-42.74,-53.05,4.59,0.63,0.944,6.76,0,
Schickard R,5.23,-44.13,-53.82,4.34,0.57,0.896,5.72,0,
Schickard S,16.01,-46.66,-56.8,13.29,4.14,2.567,0,0,
Schickard T,4.86,-44.81,-50.37,4.03,0.5,0.836,4.59,0,
Schickard W,8.12,-45.12,-58.19,6.74,1.25,1.355,21.42,0,
Schickard X,7.78,-43.55,-51.26,6.46,1.16,1.302,18.84,0,
Schickard Y,4.87,-47.44,-57.6,4.04,0.51,0.838,4.62,0,
Schiller,179.36,-51.72,-39.78,154.25,0,3.029,0,0,Nectarian
Schiller A,10.9,-47.18,-37.65,9.05,2.1,1.788,51.8,0,
Schiller B,17.2,-48.87,-39.15,14.28,4.7,2.746,0,0.16,
Schiller C,45.04,-55.37,-49.31,38.73,21.74,2.273,1571.77,1.09,Nectarian
Schiller D,9.4,-55.08,-49.36,7.8,1.62,1.555,33.22,0,
Schiller E,7.93,-54.59,-48.8,6.58,1.2,1.325,19.95,0,
Schiller F,12.74,-50.66,-42.99,10.57,2.77,2.07,82.71,0,
Schiller G,8.72,-51.24,-38.3,7.24,1.42,1.449,26.52,0,
Schiller H,72.44,-50.6,-37.74,62.3,39.35,2.766,4711.15,0,pre-Nectarian
Schiller J,9.16,-49.64,-36.69,7.6,1.55,1.518,30.74,0,
Schiller K,10.25,-46.7,-38.77,8.51,1.88,1.687,43.08,0,
Schiller L,10.25,-47.12,-40.23,8.51,1.88,1.687,43.08,0,
Schiller M,8.76,-48.22,-41.26,7.27,1.43,1.455,26.89,0,
Schiller N,6.24,-53.63,-41.98,5.18,0.78,1.058,9.72,0,
Schiller P,6.03,-53.58,-43.66,5,0.74,1.024,8.77,0,
Schiller R,7.87,-52.25,-45.87,6.53,1.18,1.316,19.5,0,
Schiller S,21.22,-54.95,-40.42,18.25,8.49,1.809,276.29,0.25,
Schiller T,6.1,-50.77,-41.29,5.06,0.75,1.035,9.08,0,
Schiller W,15.57,-54.47,-40.97,12.92,3.94,2.5,0,0,
Schiller-Zucchius,335,-56,-45,288.1,0,3.224,0,0,pre-Nectarian 
Schjellerup,62.82,69.04,158.24,54.03,32.94,2.727,3389.87,0,Upper Imbrian
Schjellerup H,22.72,67.96,168.22,19.54,9.25,1.846,323.5,0.28,
Schjellerup J,43.53,67.52,163.19,37.44,20.83,2.25,1452.71,1.02,
Schjellerup N,31.1,66.14,156.65,26.75,13.69,2.031,668.12,0.52,
Schjellerup R,49.75,68.61,151.5,42.79,24.61,2.343,1977.74,1.32,Nectarian
Schlesinger,97.28,47.12,-138.98,83.66,56.87,2.849,9309.18,0,pre-Nectarian
Schlesinger A,28.94,49.74,-137.41,24.89,12.51,1.987,565.77,0.45,
Schlesinger B,64.45,51.02,-135.17,55.43,34.01,2.734,3596.52,0,pre-Nectarian
Schlesinger M,44.15,45,-138.71,37.97,21.2,2.26,1500.95,1.04,Nectarian
Schliemann,77.4,-1.99,155.12,66.56,42.74,2.785,5489.95,0,Nectarian
Schliemann A,56.97,1.22,155.19,48.99,29.15,2.442,2704.7,0,Nectarian
Schliemann B,35.35,2.18,156,30.4,16.06,2.112,898.17,0.67,Nectarian
Schliemann G,17.52,-2.23,156.7,14.54,4.86,2.794,0,0.17,
Schliemann T,19.18,-1.91,152.69,16.49,5.7,1.754,218.75,0.2,
Schliemann W,17.85,0.26,152.35,14.82,5.02,2.843,0,0.18,
Schluter,87.55,-5.93,-83.39,75.29,49.86,2.819,7297.74,0,Upper Imbrian 
Schluter A,36.75,-9.22,-82.57,31.61,16.86,2.137,982.47,0.73,Upper Imbrian
Schluter P,20.78,0.05,-85.21,17.87,8.27,1.797,263.23,0.24,
Schluter S,13.13,-7.9,-90.04,10.9,2.92,2.13,0,0,
Schluter U,9.83,-5.06,-90.01,8.16,1.75,1.622,37.99,0,
Schluter V,12.1,-4.41,-86.97,10.04,2.53,1.972,70.86,0,
Schluter X,12.95,1.17,-88.3,10.75,2.85,2.102,86.87,0,
Schluter Z,10.35,-2.87,-83.85,8.59,1.92,1.703,44.35,0,
Schmidt,11.13,0.96,18.78,9.24,2.18,1.823,55.15,0,
Schneller,56.87,41.34,-163.73,48.91,29.09,2.44,2693.75,0,Nectarian
Schneller G,19.13,40.51,-159.91,16.45,5.67,1.752,217.44,0.2,
Schneller H,39.03,39.5,-160.47,33.57,18.18,2.177,1129.04,0.82,
Schneller L,25.76,39.16,-162.72,22.15,10.82,1.918,432.38,0.36,
Schneller S,35.26,40.68,-166.21,30.32,16.01,2.11,892.89,0.67,
Schomberger,85.8,-76.64,24.69,73.79,48.61,2.814,6965.18,0,Upper Imbrian
Schomberger A,29.44,-78.61,23.52,25.32,12.78,1.998,588.6,0.47,Copernican
Schomberger C,40.73,-77.17,15.45,35.03,19.17,2.205,1245.89,0.89,
Schomberger D,23.68,-73.38,24.22,20.36,9.74,1.87,355.96,0.31,
Schomberger F,10.65,-80.18,20.17,8.84,2.02,1.749,48.32,0,
Schomberger G,17.15,-77.01,7.43,14.23,4.68,2.738,0,0.16,
Schomberger H,15.75,-77.26,3.6,13.07,4.02,2.527,0,0,
Schomberger J,7.4,-78.98,19.31,6.14,1.06,1.242,16.21,0,
Schomberger K,8.79,-79.28,13.56,7.3,1.44,1.46,27.17,0,
Schomberger L,15.98,-80.69,17.27,13.26,4.13,2.562,0,0,
Schomberger X,8.53,-75.13,34.41,7.08,1.36,1.419,24.83,0,
Schomberger Y,18.9,-74.44,28.54,16.25,5.55,1.746,0,0.2,
Schomberger Z,6.17,-73.58,27.29,5.12,0.77,1.046,9.4,0,
Schonfeld,24.57,44.76,-98,21.13,10.2,1.891,387.63,0.33,
Schorr,52.09,-19.45,89.8,44.8,26.07,2.376,2199.27,0,Upper Imbrian
Schorr A,58.06,-20.38,88.16,49.93,29.85,2.456,2825.74,0,pre-Nectarian
Schorr B,26.75,-16.61,88.42,23.01,11.34,1.94,471.73,0.39,
Schorr C,12.87,-13.43,88.2,10.68,2.82,2.09,85.27,0,
Schorr D,21.17,-18.67,91.26,18.21,8.47,1.807,274.78,0.25,
Schrodinger,316.39,-74.73,132.93,272.1,0,3.206,0,0,Lower Imbrian
Schrodinger B,24.69,-68.06,141.41,21.23,10.26,1.894,392.01,0.33,
Schrodinger G,5.93,-75.28,139.33,4.92,0.72,1.008,8.34,0,
Schrodinger J,15.97,-78.34,155.39,13.26,4.12,2.561,0,0,
Schrodinger W,12.15,-68.18,116.01,10.08,2.54,1.98,71.74,0,
Schroter,36.67,2.74,-6.98,31.54,16.81,2.136,977.54,0.72,Nectarian
Schroter A,3.68,4.81,-7.8,3.05,0.31,0.643,1.99,0,
Schroter C,8.38,8.26,-9.79,6.96,1.32,1.396,23.54,0,
Schroter D,4.92,4.49,-9.53,4.08,0.52,0.846,4.76,0,
Schroter E,2.85,2.36,-6.83,2.37,0.2,0.506,0.93,0,
Schroter F,29.2,7.41,-5.89,25.11,12.65,1.993,577.58,0.46,
Schroter G,5.2,3.17,-9.44,4.32,0.57,0.891,5.62,0,
Schroter H,4.38,3.16,-8.63,3.64,0.42,0.758,3.36,0,
Schroter J,6.46,8.51,-6.12,5.36,0.83,1.093,10.78,0,
Schroter K,5.22,3.09,-7.93,4.33,0.57,0.894,5.69,0,
Schroter L,3.34,1.77,-7.43,2.77,0.26,0.587,1.49,0,
Schroter M,5.3,6.94,-11.68,4.4,0.59,0.907,5.96,0,
Schroter S,2.51,7.07,-9.2,2.08,0.16,0.449,0.63,0,
Schroter T,3.96,7.03,-8.01,3.29,0.35,0.689,2.48,0,
Schroter U,3.81,4.08,-6.68,3.16,0.33,0.665,2.21,0,
Schroter W,9.5,4.83,-7.74,7.89,1.65,1.571,34.3,0,
Schubert,51.94,2.78,81.01,44.67,25.97,2.374,2184.67,0,Nectarian
Schubert A,1.88,2.14,79.34,1.56,0.09,0.342,0.27,0,
Schubert C,30.72,1.94,84.64,26.42,13.48,2.024,649.41,0.51,Lower Imbrian
Schubert E,27.62,4.25,78.43,23.75,11.8,1.959,507.93,0.41,
Schubert F,34.45,3.29,77.87,29.63,15.55,2.096,846.22,0.64,
Schubert G,56.38,4.19,75.34,48.49,28.77,2.434,2640.44,0,
Schubert H,27.66,1.64,76.03,23.79,11.82,1.96,509.63,0.42,
Schubert J,22.34,-0.01,78.94,19.21,9.05,1.837,311.14,0.27,
Schubert K,30.17,2.41,75.88,25.95,13.18,2.013,622.87,0.49,
